,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
0,The Shawshank Redemption,1994,142,9.3,82,"2,766,234",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
1,The Godfather,1972,175,9.2,100,"1,925,242",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
2,The Dark Knight,2008,152,9.0,84,"2,739,653",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
3,Schindler's List,1993,195,9.0,95,"1,393,356",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
4,12 Angry Men,1957,96,9.0,97,"820,145",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
5,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"1,898,306",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
6,The Godfather Part II,1974,202,9.0,90,"1,309,872",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
7,Spider-Man: Across the Spider-Verse,2023,140,8.9,86,"183,248",#14,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Directors:Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']"
8,Pulp Fiction,1994,154,8.9,95,"2,123,634",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
9,Inception,2010,148,8.8,74,"2,431,141",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
10,Forrest Gump,1994,142,8.8,82,"2,151,666",$330.25M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,926,734",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
12,Fight Club,1999,139,8.8,67,"2,202,929",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
13,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"781,942",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
14,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"1,713,140",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
15,Jai Bhim,2021,164,8.8,NO Score,"208,169",#218,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
16,777 Charlie,2022,136,8.8,NO Score,"35,586",No count,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Kiranraj K,"['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty']"
17,Interstellar,2014,169,8.7,74,"1,936,613",$188.02M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
18,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"1,034,364",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
19,GoodFellas,1990,145,8.7,92,"1,200,637",$46.84M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
20,The Matrix,1999,136,8.7,73,"1,970,436",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
21,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"1,329,373",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
22,Rocketry: The Nambi Effect,2022,157,8.7,NO Score,"54,216",No count,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Madhavan,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']"
